macrozona,var,p_ttest,q25_0,q50_0,q75_0,q25_1,q50_1,q75_1
All,act_fijo,3.2269875217239124e-130,0.0,0.0,200000.0,0.0,0.0,500000.0
Centro,act_fijo,2.3545923234861906e-150,0.0,0.0,100000.0,0.0,0.0,300000.0
Sur,act_fijo,1.6083281338781242e-18,0.0,0.0,500000.0,0.0,0.0,800000.0
All,act_var,2.7571407524697526e-27,0.0,0.0,0.0,0.0,0.0,0.0
Centro,act_var,8.341743301079083e-25,0.0,0.0,0.0,0.0,0.0,0.0
Sur,act_var,2.4707494426074513e-06,0.0,0.0,0.0,0.0,0.0,0.0
All,cap_pen_ent,3.191543794559617e-131,0.0,0.0,5000000.0,0.0,0.0,10000000.0
Centro,cap_pen_ent,6.979907832195025e-101,0.0,0.0,3000000.0,0.0,0.0,9000000.0
Sur,cap_pen_ent,3.6508105405364357e-35,0.0,50000.0,8000000.0,0.0,0.0,12000000.0
All,edad_pr,0.0,34.0,44.0,58.0,42.0,53.0,65.0
Centro,edad_pr,0.0,34.0,45.0,59.0,41.0,53.0,66.0
Sur,edad_pr,0.0,33.0,42.0,55.0,43.0,53.0,64.25
All,hr_trabajadas_pr,3.0898353755122113e-136,20.0,44.0,45.0,0.0,44.0,45.0
Centro,hr_trabajadas_pr,8.957098993613066e-45,10.0,44.0,45.0,0.0,44.0,45.0
Sur,hr_trabajadas_pr,8.761969322196722e-122,33.0,44.0,45.0,0.0,44.0,45.0
All,yoprinm_pr,1.6195002936253222e-39,200000.0,450000.0,850000.0,0.0,445741.765625,1000000.0
Centro,yoprinm_pr,6.489197524794018e-58,100000.0,400000.0,750000.0,0.0,400000.0,1000000.0
Sur,yoprinm_pr,0.8997163205622244,320000.0,550000.0,1000000.0,0.0,480000.0,1000000.0
All,ypenh,2.1410991428255305e-141,0.0,0.0,140000.0,0.0,0.0,200000.0
Centro,ypenh,2.018633448044879e-101,0.0,0.0,150000.0,0.0,0.0,211000.0
Sur,ypenh,4.1745894010005116e-47,0.0,0.0,110000.0,0.0,0.0,170000.0
All,ysubh,0.019426096964474508,0.0,177000.0,354000.0,0.0,177000.0,356000.0
Centro,ysubh,8.274708462714474e-08,0.0,177000.0,387000.0,0.0,177000.0,370000.0
Sur,ysubh,0.00016909552831716017,0.0,177000.0,315000.0,0.0,177000.0,348000.0
